№;Code;Security name (rus);Security name (eng);Sector (rus);Sector (eng);Security status (rus);Security status (eng)
145;MFON;"ПАО ""МегаФон"", ао";"PJSC ""MegaFon"", Ordinary shares";Телекоммуникации;Telecommunication Services;Торги прекращены;Trading stopped
146;MGTSP;ПАО МГТС, ап;"PJSC ""MGTS"", Preferred shares";Телекоммуникации;Telecommunication Services;;
147;MTSS;"ПАО ""МТС"", ао";"PJSC ""MTS"", Ordinary shares";Телекоммуникации;Telecommunication Services;;
148;RTKM;"ПАО ""Ростелеком"", ао";"PJSC ""Rostelecom"", Ordinary shares";Телекоммуникации;Telecommunication Services;;
149;RTKMP;"ПАО ""Ростелеком"", ап";"PJSC ""Rostelecom"", Preferred shares";Телекоммуникации;Telecommunication Services;;
150;TTLK;"ПАО ""Таттелеком"", ао";"PJSC ""Tattelecom"", Ordinary shares";Телекоммуникации;Telecommunication Services;;
151;VEON-RX ;ПАО «Вымпелком», ао;VEON Ltd., ordinary shares;Телекоммуникации;Telecommunication Services;;
152;AFLT;"ПАО ""Аэрофлот"", ао";"PJSC ""Aeroflot"", Ordinary shares";Транспорт;Transportation;;
153;FESH;"ПАО ""ДВМП"", ао";"PJSC ""FESCO"", Ordinary shares";Транспорт;Transportation;;
154;FLOT;"ПАО ""Совкомфлот"", ао";"PJSC ""Sovcomflot"", Ordinary shares";Транспорт;Transportation;;
155;GLTR;Глобалтранс Инвестмент ПЛС, ДР иностранного эмитента;Globaltrans Investment PLC, DR (the issuer of depository receipts - Citibank N.A. (NYC));Транспорт;Transportation;;
156;GTRK;"ПАО ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ"", ао";"PJSC ""GLOBALTRUCK MANAGEMENT"", Ordinary shares";Транспорт;Transportation;;
157;NKHP;"ПАО ""Новороссийский комбинат хлебопродуктов"", ао";"PJSC ""Novorossiysk Grain Plant"", Ordinary shares";Транспорт;Transportation;;
158;NMTP;"ПАО ""НМТП"", ао";"PJSC ""NCSP"", Ordinary shares";Транспорт;Transportation;;
159;TRCN;"ПАО ""ТрансКонтейнер"", ао";"PJSC ""TransContainer"", Ordinary shares";Транспорт;Transportation;Торги прекращены;Trading stopped
